category,title,url,description,icon
,"Font Squirrel",fontsquirrel.com,,
,Unsplash,unsplash.com,,
,"Free Software Foundation",fsf.org,,
BSD,OpenBSD,openbsd.org,,
Linux,"Alpine Linux",alpinelinux.org,,https://www.alpinelinux.org/alpinelinux-logo.svg
Linux,"Arch Linux",archlinux.org,,
Linux,Debian,debian.org,,
Linux,Fedora,getfedora.org,,
Linux,Frugal,frugalware.org,,
Linux,Gentoo,gentoo.org,,
Linux,Kali,kali.org,,
Linux,OpenSUSE,opensuse.org,,
Linux/Embedded,Raspbian,raspbian.org,,
Linux/Embedded,xbian,xbian.org,,
Linux/Embedded,RetroPie,retropie.org.uk,,
Editor/Markdown,Remarkable,remarkableapp.github.io,,
Editor/Markdown,"Simple Markdown Editor",simplemde.com,,
Editor/IDE,"Visual Studio Code",code.visualstudio.com,,
Editor/IDE,VSCodium,vscodium.com,,
"Git Repository",Bitbucket,bitbucket.org,,
"Git Repository",Github,github.com,,
"Git Repository",Gitlab,gitlab.com,,
API/Web,Angular,angular.io,,
API/Web,Chai,chaijs.com,,
API/Web,Electron,electronjs.org,,
API/Web,Express,expressjs.com,,
API/Web,Greensock,greensock.com,,
API/Web,Grunt,gruntjs.com,,
API/Web,Gulp,gulpjs.com,,
API/Web,Jekyll,jekyllrb.com,,
API/Web,Mocha,mochajs.org,,
API/Web,Phaser,phaser.io,,
API/Web,React,reactjs.org,,
API/Web,Typescript,typescriptlang.org,,
API/Web,Webpack,webpack.github.io,,
Container,Docker,docker.com,,
"Virtual Machine",qemu,qemu.org,,
"Virtual Machine",VirtualBox,virtualbox.org,,
"Virtual Machine",VMWare,vmware.com,,
